iter	RMSE
0	72.74298195
1	70.23038244
2	68.64881625
3	67.66170135
4	66.65838247
5	64.77990853
6	64.02614621
7	62.61078726
8	61.62979406
9	60.72140004
10	59.8705697
11	59.13242726
12	58.15319362
13	57.63592754
14	57.09372283
15	55.8181613
16	55.31228648
17	54.85591096
18	54.126964
19	53.57116546
20	53.14318514
21	52.65172742
22	52.12360572
23	51.55026526
24	50.81236046
25	50.1938445
26	50.03829555
27	49.55289366
28	49.26564463
29	48.83567504
30	48.53249619
31	47.81662879
32	47.34491348
33	46.70134889
34	45.99813755
35	45.03465056
36	44.47360413
37	44.05450455
38	43.55312813
39	43.04385349
40	42.66422765
41	42.25045138
42	41.83875845
43	41.47441746
44	40.86211145
45	40.41625402
46	40.29086122
47	40.07745064
48	39.6380986
49	39.47972915
50	39.28540956
51	38.74972801
52	38.13917759
53	38.05125144
54	37.70052487
55	37.24809877
56	37.06131338
57	36.78833245
58	36.59473534
59	36.11852085
60	35.71415222
61	35.42221336
62	35.09124964
63	34.85355363
64	34.44698419
65	34.14502516
66	34.07122497
67	33.79571917
68	33.55404351
69	33.22765297
70	32.95941341
71	32.77662387
72	32.6692192
73	32.38425364
74	32.11751738
75	31.83209198
76	31.75080361
77	31.6340569
78	31.29261174
79	30.99048596
80	30.70061847
81	30.5359972
82	30.31064998
83	30.17284319
84	30.03616293
85	29.89320186
86	29.52520237
87	29.45044602
88	29.37198153
89	29.25711517
90	29.09648533
91	28.9635962
92	28.81624792
93	28.67700503
94	28.51551896
95	28.37183565
96	28.27586661
97	28.19265103
98	28.1004342
99	27.88682443
100	27.45264126
101	27.29299116
102	27.05461249
103	26.9562423
104	26.83524108
105	26.65670175
106	26.48636563
107	26.34961897
108	26.20611072
109	26.05093846
110	25.91517634
111	25.83804321
112	25.80506078
113	25.75395111
114	25.6164356
115	25.50699013
116	25.31597758
117	25.19515865
118	25.03727336
119	24.93440318
120	24.87457934
121	24.70828315
122	24.61873593
123	24.49809824
124	24.44392447
125	24.30730419
126	24.19157006
127	24.04997426
128	23.8966501
129	23.78573324
130	23.72702057
131	23.56327383
132	23.42864058
133	23.29862419
134	23.17234077
135	23.14812579
136	23.05346854
137	22.93520066
138	22.84773795
139	22.6988148
140	22.58958264
141	22.50608402
142	22.41025175
143	22.26235229
144	22.20280254
145	22.09494298
146	21.96403252
147	21.85107811
148	21.80103275
149	21.61963922
150	21.56954592
151	21.40638184
152	21.28538282
153	21.25058669
154	21.15338654
155	21.07054624
156	20.96757601
157	20.93066168
158	20.83362642
159	20.67113259
160	20.55580811
161	20.40578267
162	20.28188262
163	20.21191237
164	20.16499647
165	20.09905102
166	19.99918791
167	19.92868085
168	19.76762819
169	19.68711495
170	19.61154867
171	19.55904535
172	19.45254608
173	19.36936304
174	19.2482097
175	19.19168527
176	19.0513072
177	18.98342453
178	18.83072411
179	18.70710651
180	18.65782956
181	18.61942802
182	18.57680366
183	18.48572865
184	18.42424069
185	18.33773019
186	18.21193629
187	18.15380575
188	18.09794782
189	18.05560968
190	17.94961864
191	17.88775315
192	17.81463889
193	17.68847021
194	17.59471891
195	17.56135879
196	17.47524509
197	17.41662819
198	17.34334326
199	17.28275071
